peopleCd,peopleNm,peopleNmEn,repRoleNm,filmoNames
10062134,정인기,JUNG In-gi,배우,"범죄도시4|화사한 그녀|시네마틱 노블 2|2035|거미집|나는 여기에 있다|육사오(6/45)|이공삼칠|범죄도시2|데드캠핑 더라이브|룸 쉐어링|브라더|F20|발신제한|잔칫날|담보|소리꾼|블랙머니|광대들: 풍문조작단|벌새|성난황소|해피 투게더|행복의 나라|죄 많은 소녀|허스토리|1987|범죄도시|이웃집 스타|귀향, 끝나지 않은 이야기|쇠파리|인어전설|아기와 나|더 킹|당신, 거기 있어줄래요|매직배딩|귀향|돌연변이|서부전선|간신|해무(海霧)|야간비행|이쁜 것들이 되어라|수상한 그녀|더 파이브|소녀|스파이|타워|이웃사람|연가시|두 번의 결혼식과 한 번의 장례식|시체가 돌아왔다|원더풀 라디오|돼지의 왕|7광구|고지전|조선명탐정 : 각시투구꽃의 비밀|돌이킬 수 없는|내 깡패 같은 애인|비밀애|의형제|전우치|시크릿|백야행|펜트하우스 코끼리|요가학원|보트|바다 쪽으로, 한 뼘 더|추격자|마이 뉴 파트너|우리 동네|엠|브라보 마이 라이프|내 생애 최악의 남자|두 사람이다|꽃미남 연쇄 테러 사건|화려한 휴가|검은 집|최강로맨스|경의선|우아한 세계|허브|사랑할 때 이야기하는 것들|가을로|타짜|우리들의 행복한 시간|괴물|내 청춘에게 고함|호로비츠를 위하여|음란서생|블루 먼데이|연애|그때 그 사람들|댄서의 순정|역전의 명수|주먹이 운다(Crying Fist)|주홍글씨|얼굴 없는 미녀|사마리아|목포는 항구다|싱글즈|오! 해피데이|중독|연애소설|아름다운 청년 전태일|구미호|장미빛 인생|젖꼭지 3차대전|림동미|송곳|기억의 재구성|어둠에서 빛이 흘러나오는 소리|라이트 마이 파이어|그와 내가 본 것 |갈 수 없는 나라|외계인이다|판도라|한복자|오늘의 저녁|주리|순환선|리코더시험|구해줘! |부서진 밤|내 맘도 몰라주고|살려고 하는 자|하우스 패밀리|농어와 달|암사자들|나타샤|빈방|불법주차|미성년자 관람불가|탐정사무소:나를 찾아주세요|그의 진실이 전진한다|영자|그리다|가족시네마"
20395837,김예소리,,배우,범죄도시4
20395815,우지영,,배우,범죄도시4
20395814,지지안,,배우,범죄도시4
20395813,강지연,,배우,범죄도시4
20377646,박현진,,배우,범죄도시4|아이윌 송
20343703,민효경,,배우,범죄도시4|천박사 퇴마 연구소: 설경의 비밀|비상선언|아워 미드나잇|어린 의뢰인|소설가의 일|야행성|경화|임신사태|염색
20313334,김시영,,배우,범죄도시4|룸 쉐어링|간호중|새해전야|앙상블|첫잔처럼|오만|어린 의뢰인|살아남은 아이|허스토리|어나더타운|미안해
20395836,이가회,,배우,범죄도시4
20395835,서원준,,배우,범죄도시4
20395812,주미진,,배우,범죄도시4
20158542,홍상우,,배우,범죄도시4|잔칫날|귀 鬼(鬼소년 편)
20370548,이한솔,LeeHansol,배우,범죄도시4|달짝지근해: 7510|아무도 없는 집
20395811,김형국,,배우,범죄도시4
20366454,김형범,,배우,범죄도시4|헌트|얼굴없는 보스: 못다한 이야기 감독판|얼굴없는 보스
10000737,강신철,GANG Sin-cheol,배우,"범죄도시4|나의 피투성이 연인|리바운드|늑대사냥|걸스 인 더 케이지|내가 죽던 날|백두산|클로젯|어쩌다, 결혼|PMC: 더 벙커|삼촌|신과함께-인과 연|1987|침묵|특별시민|어느날|싱글라이더|대결|터널|소시민|남과 여|내부자들: 디 오리지널|내부자들|치외법권|프로젝트 패기|사랑이 이긴다|허삼관|국제시장|거인|나의 사랑 나의 신부|군도: 민란의 시대|롤러코스터|소원|더 테러 라이브|여배우는 너무해|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|최종병기 활|비스티 보이즈|나의 스캔들|시간"
20395834,임서아,,배우,범죄도시4
20344443,장태민,,배우,범죄도시4|크로스|올빼미|악질경찰
20326332,김근혁,,배우,범죄도시4|워킹 온 에어
20287333,정기욱,,배우,범죄도시4|웅남이|고백|미성년|불한당: 나쁜 놈들의 세상
10067442,조현식,CHO Hyun-sik,배우,범죄도시4|강릉|보이스|속물들|집 이야기|너의 여자친구|명당|반드시 잡는다|봉이 김선달|나의 사랑 나의 신부|신성일의 행방불명|초승달과 밤배|유아독존|택싱 데이
20395833,고서정,,배우,범죄도시4
20386794,정지영,JEONG JEEYOUNG,배우,범죄도시4|비상선언
20341835,강전영,,배우,범죄도시4|검객|반도|말모이|히얼 오
20395831,최순진,,배우,범죄도시4
20391129,이상진,,배우,범죄도시4|30일
20395810,박근정,,배우,범죄도시4
20395828,주석인,,배우,범죄도시4
20322435,김모범,,배우,범죄도시4|스트리머|혼자 사는 사람들|그녀의 가족은 잘못이 없어|말을 걸어볼까?|매혈기|궁궐에서
20318796,김선문,,배우,범죄도시4|경관의 피|더스트맨|원더풀 고스트|명당
20395809,정유겸,,배우,범죄도시4
10000865,강준석,GANG Jun-seok,배우,"범죄도시4|더 문|크로스|열여덟, 어른이 되는 나이|비상선언|콘크리트 유토피아|나는 나를 해고하지 않는다|반도|봉오동 전투"
20370546,조진결,,배우,범죄도시4|헌트|비상선언|외계+인 1부|자백|이상한 나라의 수학자|천문: 하늘에 묻는다
20130274,김호준,,배우,범죄도시4|헌트|데시벨|인생은 아름다워|이웃사촌|강철비2: 정상회담|정직한 후보|퍼펙트맨|나는 아빠다
20291839,안성봉,AHN Seong-bong,배우,범죄도시4|황야|노량: 죽음의 바다|헤어질 결심|올빼미|한산 리덕스|한산: 용의 출현|싱크홀|유체이탈자|히트맨|해치지않아|나쁜 녀석들: 더 무비|비스트|기생충|악인전|미스터 주: 사라진 VIP|걸캅스|증인|뺑반|극한직업|PMC: 더 벙커|협상|명당|인랑|독전|그것만이 내 세상|침묵|청년경찰|옥자|불한당: 나쁜 놈들의 세상|아가씨
20395808,배재원,,배우,범죄도시4
20142726,백승환,,배우,범죄도시4|리멤버|기생충|걸캅스|상류사회|독전|남쪽으로 튀어|리턴
20370545,류지훈,,배우,범죄도시4|나를 죽여줘|이상한 나라의 수학자|천문: 하늘에 묻는다
20147111,곽자형,KWAK Ja-hyeong,배우,범죄도시4|소풍|서울의 봄|폭로|콘크리트 유토피아|킹메이커|결백|광대들: 풍문조작단|미스터 주: 사라진 VIP|호흡|군산: 거위를 노래하다|협상|살아남은 아이|공작|챔피언|골든슬럼버|남한산성|비정규직 특수요원|재심|밀정|덕혜옹주|특별수사: 사형수의 편지|필름시대사랑|암살|간신|4등|헬머니|허삼관|타짜-신의 손|경주|역린|관능의 법칙|또 하나의 약속|뜨거운 안녕|돈 크라이 마미|철암 계곡의 혈투|페이스메이커|부당거래|친정엄마|흉터|목격자의 밤
20196748,김영웅,KIM Young-woong,배우,범죄도시4|우리 사랑이 향기로 남을 때|공기살인|한산 리덕스|한산: 용의 출현|로드킬|암수살인|판도라|그놈이다|나의 독재자|해무(海霧)|수상한 그녀|남자사용설명서|남쪽으로 튀어|도둑들|우리 이웃의 범죄|불량남녀|의형제|식객2 : 김치전쟁|집행자|미인도|마이 뉴 파트너|바람피기 좋은 날|구미호 가족|사생결단|간첩 리철진
20355532,김신비,,배우,"범죄도시4|요정|그 겨울, 나는|영화의 거리|침묵의 섬|피터팬의 꿈|유빙|어항을 깨고 나온 금붕어"
20239308,현봉식,HYUN Bong-sik,배우,범죄도시4|로비|서울의 봄|달짝지근해: 7510|비상선언|한산 리덕스|한산: 용의 출현|봄날|괴기맨숀|소울메이트|뜨거운 피|유체이탈자|어른들은 몰라요|세자매|천문: 하늘에 묻는다|카센타|양자물리학|타짜: 원 아이드 잭|우상|마녀|레슬러|사라진 밤|1987|강철비|채비|브이아이피|머니백|리얼|보안관|원라인|프리즌|비정규직 특수요원|두 남자|아수라|희생부활자|멜리스|사랑은 없다|극비수사|국제시장|해적: 바다로 간 산적|령희|두 남녀|의자 위 여자|수렵허가구역|홍어|종합보험|더 게스트
20395827,김지훈,,배우,범죄도시4
20324472,김도건,,배우,범죄도시4|범죄도시3|죽이러 간다|쎈놈|살인택시괴담: 야경 챕터2
10021341,마동석,Don LEE,배우,범죄도시4|거룩한 밤: 데몬 헌터스|황야|범죄도시3|압꾸정|범죄도시2|이터널스|백두산|시동|나쁜 녀석들: 더 무비|롱 리브 더 킹: 목포 영웅|노리개: 그녀의 눈물|악인전|성난황소|동네사람들|원더풀 고스트|신과함께-인과 연|챔피언|신과함께-죄와 벌|부라더|범죄도시|특별시민|부산행:익스텐디드|두 남자|부산행|굿바이 싱글|섬. 사라진 사람들|함정|악의 연대기|베테랑|일대일|군도: 민란의 시대|살인자|결혼전야|더 파이브|배우는 배우다|감기|뜨거운 안녕|공정사회|노리개|반창꼬|이웃사람|노리개 무삭제 확장판|범죄와의 전쟁: 나쁜놈들 전성시대|우리 만난 적 있나요|부당거래|그라운드 제로|오월|래빗
20365053,배연경,Bae yeonkyung,배우,헤어 나올 수 없는|2퍼센트|달려라 정이|피아니스트|귀벌레|거짓말
20278549,김율호,KIM Yool-ho,배우,"보이 인 더 풀|달짝지근해: 7510|아포리아|시민덕희|메모리: 조작살인|드림메이커|리멤버|나를 찾아줘|고산자, 대동여지도|부산행|연평해전|혼자 남은 방|머드피쉬|히얼 오|은서"
20395787,조정우,Cho Jeong-Woo,배우,해적: 도깨비 깃발
20395750,이연진,Lee YeonJIn,배우,장손|나의 피투성이 연인
20363456,우영남,WOO YOUNG-NAM,배우,오! 문희
20395767,김지석,KIM JISEOK,배우,황야
20336418,박주현,,배우,6시간 후 너는 죽는다|탈출: PROJECT SILENCE|드라이브|소리꾼|강철비2: 정상회담|내안의 그놈|뿔을 가진 소년
20196234,이지혜,,배우,낭만적 공장|돈|신과함께-인과 연|파파좀비|굿바이 싱글|흔들리는 물결|어라우저: 각성자들|상의원|카트|터널 3D|숫호구
20113252,강정우,KANG Jung-woo,배우,늑대사냥|불도저에 탄 소녀|강릉|메이드 인 루프탑
20311980,이태진,,배우,늦더위|안시성|더 페이커|굴레
20368488,기진우,,배우,"늦더위|종착역|초미의 관심사|열두 번째 용의자|오늘, 우리"
20395731,조철민,,배우,늦더위
20395749,최재희,,배우,늦더위
20395748,박서영,,배우,늦더위
20395730,강주예,,배우,늦더위
20344224,이현하,,배우,늦더위|엑시트|나는보리
20395729,양진서,,배우,늦더위
20395728,박보성,,배우,늦더위
20336506,설시연,,배우,늦더위|물비늘|종착역|우리집|사바하
20378460,박소정,,배우,늦더위|종착역
20395747,주정민,,배우,늦더위
20374014,이원웅,,배우,늦더위|세자매
20360458,장예림,,배우,늦더위|검객
20395727,심건우,,배우,늦더위
20373944,강석원,,배우,늦더위|아워 미드나잇|종착역|갈매기|세자매|흩어진 밤|남매의 여름밤|살인의뢰|방황하는 칼날|집행자|판도라
